4,1,0,0.042462
4,1,1,0.000454
4,1,2,0.000451
4,1,3,0.000431
4,1,4,0.008947
4,1,5,0.000383
4,1,6,0.000423
4,1,7,0.000404
4,1,8,0.000407
4,1,9,0.000383
4,1,10,0.000425
4,1,11,0.000389
4,1,12,0.000406
4,1,13,0.000394
4,1,14,0.000451
4,1,15,0.000395
4,1,16,0.000427
4,1,17,0.000398
4,1,18,0.000391
4,1,19,0.000385
4,1,20,0.000457
4,1,21,0.000386
4,1,22,0.000404
4,1,23,0.000390
4,1,24,0.000398
4,1,25,0.000392
4,1,26,0.000478
4,1,27,0.000385
4,1,28,0.000387
4,1,29,0.000391
4,1,30,0.000421
4,1,31,0.000407
4,1,32,0.000493
4,1,33,0.000388
4,1,34,0.000421
4,1,35,0.000383
4,1,36,0.000394
4,1,37,0.000406
4,1,38,0.000435
4,1,39,0.000416
4,1,40,0.000406
4,1,41,0.000418
4,1,42,0.000412
4,1,43,0.000434
4,1,44,0.000401
4,1,45,0.000393
4,1,46,0.000407
4,1,47,0.000394
4,1,48,0.000421
4,1,49,0.000455
